"","aliph.type","acids.type","notes"
"1","two separated peaks","peak",NA
"2","two separated peaks","peak",NA
"3","two separated peaks","peak",NA
"4","two separated peaks","peak",NA
"5","two separated peaks","peak",NA
"6","two separated peaks","peak",NA
"7","two separated peaks","peak",NA
"8","two separated peaks","peak",NA
"9","two separated peaks","peak",NA
"10","two separated peaks","peak",NA
"11","two separated peaks","peak",NA
"12","two separated peaks","peak",NA
"13","one peak","peak",NA
"14","one peak","peak",NA
"15","one peak","peak",NA
"16","one peak","peak",NA
"17","one peak","peak",NA
"18","one peak","peak",NA
"19","one peak","peak",NA
"20","one peak","peak",NA
"21","one peak","peak",NA
"22","one peak","peak",NA
"23","one peak","peak",NA
"24","two separated peaks","peak",NA
"25","two separated peaks","peak",NA
"26","two separated peaks","peak",NA
"27","two separated peaks","peak",NA
"28","two separated peaks","peak",NA
"29","two separated peaks","peak",NA
"30","two separated peaks","peak",NA
"31","two separated peaks","peak",NA
"32","two separated peaks","peak",NA
"33","two separated peaks","shoulder",NA
"34","two separated peaks","peak",NA
"35","two separated peaks","peak",NA
"36","two separated peaks","peak",NA
"37","one peak","peak",NA
"38","one peak","peak",NA
"39","one peak","peak",NA
"40","one peak","peak",NA
"41","one peak","peak",NA
"42","one peak","peak",NA
"43","one peak","shoulder",NA
"44","one peak","peak",NA
"45","one peak","peak",NA
"46","one peak","peak, negative",NA
"47","one peak","peak",NA
"48","one peak","peak",NA
"49","one peak","peak",NA
"50","one peak","peak",NA
"51","one peak","peak",NA
"52","one peak","peak",NA
"53","one peak","peak",NA
"54","one peak","peak",NA
"55","one peak","peak, negative",NA
"56","one peak","peak, negative",NA
"57","one peak","peak, negative",NA
"58","one peak","peak, negative",NA
