"","carb","arom15","arom16","trough16","acids","aliph28","trough28","aliph29"
"1",1174,1535,1788,1788,1788,2999,2999,2999
"2",1186,1535,1779,1779,1779,3009,3009,3009
"3",1187,1535,1778,1778,1778,2998,2998,2998
"4",1182,1535,1777,1777,1777,2990,2990,2990
"5",1184,1535,1783,1783,1783,2999,2999,2999
"6",1177,1525,1788,1788,1788,2997,2997,2997
"7",1184,1535,1777,1777,1777,2996,2996,2996
"8",1182,1535,1789,1789,1789,3006,3006,3006
"9",1183,1535,1785,1785,1785,3005,3005,3005
"10",1178,1535,1778,1778,1778,3001,3001,3001
"11",1185,1535,1777,1777,1777,2999,2999,2999
"12",1184,1535,1777,1777,1777,3002,3002,3002
"13",1181,1529,1777,1777,1777,3022,3022,3022
"14",1185,1540,1773,1773,1773,3017,3017,3017
"15",1183,1532,1774,1774,1774,3018,3018,3018
"16",1185,1530,1775,1775,1775,3001,3001,3001
"17",1186,1532,1773,1773,1773,2987,2987,2987
"18",1185,1532,1777,1777,1777,2988,2988,2988
"19",1179,1540,1779,1779,1779,2987,2987,2987
"20",1185,1534,1781,1781,1781,3002,3002,3002
"21",1182,1528,1776,1776,1776,2987,2987,2987
"22",1186,1532,1778,1778,1778,3019,3019,3019
"23",1185,1530,1773,1773,1773,3017,3017,3017
"24",1189,1535,1779,1779,1779,3000,3000,3000
"25",1184,1535,1789,1789,1789,3007,3007,3007
"26",1188,1540,1794,1794,1794,3009,3009,3009
"27",1178,1535,1791,1791,1791,2995,2995,2995
"28",1185,1540,1778,1778,1778,2994,2994,2994
"29",1183,1535,1772,1772,1772,3004,3004,3004
"30",1188,1526,1769,1769,1769,3000,3000,3000
"31",1169,1535,1788,1788,1788,2994,2994,2994
"32",1185,1535,1784,1784,1784,3001,3001,3001
"33",1174,1535,1781,1781,1781,3005,3005,3005
"34",1178,1533,1773,1773,1773,3000,3000,3000
"35",1190,1531,1777,1777,1777,3000,3000,3000
"36",1187,1540,1781,1781,1781,2995,2995,2995
"37",1182,1532,1773,1773,1773,3018,3018,3018
"38",1185,1532,1784,1784,1784,3003,3003,3003
"39",1183,1532,1768,1768,1768,3000,3000,3000
"40",1185,1533,1773,1773,1773,3018,3018,3018
"41",1183,1533,1782,1782,1782,2987,2987,2987
"42",1186,1532,1760,1760,1760,2988,2988,2988
"43",1186,1540,1760,1760,1760,2988,2988,2988
"44",1186,1531,1760,1760,1760,2988,2988,2988
"45",1187,1532,1769,1769,1769,2995,2995,2995
"46",1185,1530,1760,1760,1760,2997,2997,2997
"47",1187,1534,1767,1767,1767,2995,2995,2995
"48",1186,1531,1760,1760,1760,2997,2997,2997
"49",1185,1531,1765,1765,1765,3022,3022,3022
"50",1186,1531,1768,1768,1768,2999,2999,2999
"51",1186,1534,1760,1760,1760,2996,2996,2996
"52",1186,1531,1764,1764,1764,2996,2996,2996
"53",1185,1531,1770,1770,1770,3038,3038,3038
"54",1186,1531,1761,1761,1761,2998,2998,2998
"55",1186,1540,1763,1763,1763,3002,3002,3002
"56",1187,1537,1760,1760,1760,2987,2987,2987
"57",1187,1540,1760,1760,1760,3002,3002,3002
"58",1187,1540,1760,1760,1760,3003,3003,3003
