"","carb","arom15","arom16","trough16","acids","aliph28","trough28","aliph29"
"1",1033,1513,1615,1704,1735,2852,2877,2921
"2",1023,1516,1614,1694,1732,2850,2877,2919
"3",1032,1515,1622,1700,1734,2850,2872,2918
"4",1033,1511,1614,1695,1733,2851,2879,2919
"5",1032,1513,1634,1705,1734,2851,2877,2919
"6",1019,1514,1609,1689,1730,2851,2871,2920
"7",1033,1514,1615,1704,1733,2851,2877,2921
"8",1033,1514,1614,1693,1733,2850,2877,2919
"9",1031,1515,1615,1696,1734,2852,2877,2920
"10",1020,1514,1616,1695,1734,2851,2867,2918
"11",1033,1514,1622,1705,1731,2851,2879,2919
"12",1033,1512,1623,1697,1734,2851,2878,2918
"13",1032,1504,1594,1684,1729,2885,2885,2885
"14",1032,1504,1593,1688,1732,2885,2885,2885
"15",1032,1504,1593,1694,1737,2885,2885,2885
"16",1031,1507,1594,1687,1731,2886,2886,2886
"17",1032,1503,1594,1692,1731,2885,2885,2885
"18",1032,1506,1594,1689,1731,2886,2886,2886
"19",1031,1504,1594,1678,1727,2917,2917,2917
"20",1032,1507,1593,1687,1732,2886,2886,2886
"21",1033,1504,1594,1681,1728,2887,2887,2887
"22",1033,1504,1593,1687,1733,2886,2886,2886
"23",1031,1504,1594,1692,1732,2886,2886,2886
"24",1034,1515,1630,1694,1734,2850,2869,2918
"25",1034,1515,1611,1690,1732,2850,2878,2919
"26",1033,1516,1619,1686,1730,2850,2878,2918
"27",1033,1513,1626,1695,1732,2851,2864,2919
"28",1048,1517,1611,1703,1731,2851,2864,2919
"29",1032,1517,1627,1704,1731,2853,2865,2923
"30",1033,1513,1646,1702,1732,2850,2861,2918
"31",1033,1514,1634,1699,1732,2851,2868,2920
"32",1030,1515,1615,1695,1732,2851,2878,2919
"33",1034,1514,1615,1679,1735,2850,2877,2918
"34",1033,1517,1610,1702,1731,2851,2879,2921
"35",1034,1514,1647,1704,1731,2850,2868,2919
"36",1033,1514,1622,1696,1733,2852,2877,2921
"37",1028,1509,1595,1701,1728,2886,2886,2886
"38",1027,1510,1651,1687,1723,2920,2920,2920
"39",1027,1510,1636,1690,1728,2887,2887,2887
"40",1026,1510,1594,1620,1694,2918,2918,2918
"41",1026,1510,1597,1692,1728,2886,2886,2886
"42",1031,1510,1635,1711,1735,2902,2902,2902
"43",1032,1509,1594,1690,1738,2887,2887,2887
"44",1032,1508,1593,1717,1733,2885,2885,2885
"45",1006,1509,1637,1691,1728,2903,2903,2903
"46",1032,1506,1603,1706,1740,2923,2923,2923
"47",1029,1510,1651,1693,1732,2918,2918,2918
"48",1029,1510,1639,1694,1728,2918,2918,2918
"49",1033,1509,1593,1705,1731,2921,2921,2921
"50",1032,1509,1603,1695,1731,2921,2921,2921
"51",1031,1509,1601,1704,1729,2893,2893,2893
"52",1030,1509,1604,1694,1730,2901,2901,2901
"53",1033,1509,1650,1694,1729,2914,2914,2914
"54",1029,1510,1604,1703,1731,2903,2903,2903
"55",1033,1506,1641,1733,1757,2886,2886,2886
"56",1033,1490,1640,1736,1743,2886,2886,2886
"57",1032,1540,1640,1702,1743,2880,2880,2880
"58",1032,1510,1651,1722,1760,2885,2885,2885
