"","carb","arom15","arom16","trough16","acids","aliph28","trough28","aliph29"
"1",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"3",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"7",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"8",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"9",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"10",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"11",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"12",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"13",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"14",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"15",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"16",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"17",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"18",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"19",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"20",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"21",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"22",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"23",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"24",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"25",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"26",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"27",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"28",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"29",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"30",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"31",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"32",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"33",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"34",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"35",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"36",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"37",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"38",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"39",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"40",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"41",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"42",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"43",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"44",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"46",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"47",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"48",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"49",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"50",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"51",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"52",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"53",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"54",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"55",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"56",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"57",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"58",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
