"","aliph.type","acids.type","notes"
"61","two separated peaks","peak",NA
"62","two separated peaks","peak",NA
"63","two separated peaks","peak",NA
"64","two separated peaks","shoulder",NA
"65","two separated peaks","shoulder",NA
"66","two separated peaks","shoulder",NA
"67","two separated peaks","shoulder",NA
"68","two separated peaks","shoulder",NA
"69","two separated peaks","shoulder",NA
"70","two separated peaks","shoulder",NA
"71","two separated peaks","shoulder",NA
"1","two separated peaks","peak",NA
"2","two separated peaks","peak",NA
"3","two separated peaks","peak",NA
"4","two separated peaks","peak",NA
"5","two separated peaks","shoulder",NA
"6","two separated peaks","shoulder",NA
"7","two separated peaks","peak",NA
"8","two separated peaks","peak",NA
"167","two separated peaks","peak",NA
"168","two separated peaks","peak",NA
"169","two separated peaks","peak",NA
"170","two separated peaks","peak",NA
"171","two separated peaks","peak",NA
"172","two separated peaks","peak",NA
"173","two separated peaks","peak",NA
"174","two separated peaks","peak",NA
"175","two separated peaks","peak",NA
"176","two separated peaks","peak",NA
"177","two separated peaks","peak",NA
"178","two separated peaks","peak",NA
"179","two separated peaks","peak",NA
"180","two separated peaks","peak",NA
"181","two separated peaks","peak",NA
"182","two separated peaks","peak",NA
"183","two separated peaks","peak",NA
"184","two separated peaks","shoulder",NA
"185","two separated peaks","shoulder",NA
"186","two separated peaks","shoulder",NA
"187","two separated peaks","shoulder",NA
"188","two separated peaks","shoulder",NA
"189","two separated peaks","shoulder",NA
"190","two separated peaks","no peak",NA
"191","two separated peaks","no peak",NA
"192","two separated peaks","no peak",NA
"193","two separated peaks","no peak",NA
"194","two separated peaks","shoulder",NA
"195","two separated peaks","no peak",NA
"196","two separated peaks","shoulder",NA
"197","two separated peaks","shoulder",NA
"198","two separated peaks","no peak",NA
"199","two separated peaks","no peak",NA
"200","two separated peaks","shoulder",NA
"201","two separated peaks","no peak",NA
"202","two separated peaks","shoulder",NA
"203","two separated peaks","shoulder",NA
"204","two separated peaks","no peak",NA
"205","two separated peaks","shoulder",NA
"206","two separated peaks","no peak",NA
"207","two separated peaks","no peak",NA
"208","two separated peaks","no peak",NA
"209","two separated peaks","shoulder",NA
"210","two separated peaks","shoulder",NA
"211","two separated peaks","shoulder",NA
"212","two separated peaks","shoulder",NA
"213","two separated peaks","shoulder",NA
"214","two separated peaks","shoulder",NA
"215","two separated peaks","shoulder",NA
"216","two separated peaks","shoulder",NA
"217","two separated peaks","no peak",NA
"218","two separated peaks","no peak",NA
"219","two separated peaks","no peak",NA
