"","area","silicate780","norm.silicate780"
"61",1,1.13508495084404e-05,1.13508495084404e-05
"62",1,1.36095708487177e-05,1.36095708487177e-05
"63",1,1.3850210048647e-05,1.3850210048647e-05
"64",1,1.17533120111039e-05,1.17533120111039e-05
"65",1,2.38151519421677e-05,2.38151519421677e-05
"66",1,6.47702235006754e-06,6.47702235006754e-06
"67",1,1.22986349939237e-05,1.22986349939237e-05
"68",1,2.14908878799236e-05,2.14908878799236e-05
"69",1,2.5021328606403e-05,2.5021328606403e-05
"70",1,4.05132308879474e-05,4.05132308879474e-05
"71",1,2.48300115383216e-05,2.48300115383217e-05
"1",1,1.21436701629535e-05,1.21436701629535e-05
"2",1,1.26993430133573e-05,1.26993430133573e-05
"3",1,6.46863497447372e-06,6.46863497447372e-06
"4",1,1.09306900667745e-05,1.09306900667745e-05
"5",1,6.50682098856849e-06,6.50682098856849e-06
"6",1,4.67668417495322e-06,4.67668417495322e-06
"7",1,9.05739245280813e-06,9.05739245280813e-06
"8",1,1.15837035462156e-05,1.15837035462156e-05
"167",1,5.16131974801416e-05,5.16131974801416e-05
"168",1,3.80801287051173e-05,3.80801287051173e-05
"169",1,2.40398132915134e-05,2.40398132915134e-05
"170",1,2.54740349399446e-05,2.54740349399446e-05
"171",1,1.78194594667645e-05,1.78194594667645e-05
"172",1,3.36438792678993e-05,3.36438792678993e-05
"173",1,3.77382704444876e-05,3.77382704444876e-05
"174",1,2.98790984793876e-05,2.98790984793876e-05
"175",1,2.59284980989067e-05,2.59284980989067e-05
"176",1,1.70221140625337e-05,1.70221140625337e-05
"177",1,2.36601255084398e-05,2.36601255084398e-05
"178",1,2.98794432432435e-05,2.98794432432435e-05
"179",1,1.43988840831682e-05,1.43988840831682e-05
"180",1,2.56323993370777e-05,2.56323993370777e-05
"181",1,3.72234286506875e-05,3.72234286506875e-05
"182",1,5.61401291355595e-05,5.61401291355595e-05
"183",1,4.59814189736297e-05,4.59814189736297e-05
"184",1,1.67389123086871e-05,1.67389123086871e-05
"185",1,1.24636222337847e-05,1.24636222337847e-05
"186",1,1.14363413540431e-05,1.14363413540431e-05
"187",1,1.40060219413326e-05,1.40060219413326e-05
"188",1,4.16768049568984e-05,4.16768049568984e-05
"189",1,1.04770732495887e-05,1.04770732495887e-05
"190",1,7.93818831062693e-06,7.93818831062693e-06
"191",1,3.62887494192319e-06,3.62887494192319e-06
"192",1,1.22205283296866e-05,1.22205283296866e-05
"193",1,3.08245630711439e-06,3.08245630711439e-06
"194",1,1.12675468553736e-05,1.12675468553736e-05
"195",1,9.27722531495425e-06,9.27722531495425e-06
"196",1,1.85747702288319e-05,1.85747702288319e-05
"197",1,3.15186480221871e-05,3.15186480221871e-05
"198",1,9.46130068074478e-06,9.46130068074478e-06
"199",1,9.83768652675989e-06,9.83768652675989e-06
"200",1,1.39158213035414e-05,1.39158213035414e-05
"201",1,7.39473143928039e-06,7.39473143928039e-06
"202",1,2.74157313146009e-06,2.74157313146009e-06
"203",1,1.28738401643584e-05,1.28738401643584e-05
"204",1,9.92302493980711e-06,9.92302493980711e-06
"205",1,1.38913321222893e-05,1.38913321222893e-05
"206",1,1.81805101385704e-05,1.81805101385704e-05
"207",1,2.28615922022928e-05,2.28615922022928e-05
"208",1,8.53783335256027e-06,8.53783335256027e-06
"209",1,3.90050047066742e-06,3.90050047066742e-06
"210",1,1.75148388648516e-05,1.75148388648516e-05
"211",1,1.27440558925281e-06,1.27440558925281e-06
"212",1,1.14224305788658e-05,1.14224305788658e-05
"213",1,1.1809911474688e-05,1.1809911474688e-05
"214",1,3.53763987731744e-06,3.53763987731744e-06
"215",1,2.03368838730123e-05,2.03368838730123e-05
"216",1,2.82248138509122e-06,2.82248138509122e-06
"217",1,2.26653238842687e-05,2.26653238842687e-05
"218",1,1.87635422763757e-05,1.87635422763757e-05
"219",1,3.40506515063894e-05,3.40506515063894e-05
"220",1,3.0915945161443e-05,3.0915945161443e-05
"221",1,4.31027653801894e-05,4.31027653801894e-05
"222",1,4.96185531265119e-05,4.96185531265119e-05
"223",1,3.234902826396e-05,3.234902826396e-05
"224",1,2.68529436488123e-05,2.68529436488123e-05
"225",1,3.14786861563731e-05,3.14786861563731e-05
"226",1,2.28349869181244e-05,2.28349869181244e-05
"227",1,3.56288384681649e-05,3.56288384681649e-05
"228",1,4.12046810577936e-05,4.12046810577936e-05
"229",1,4.98927523930729e-05,4.98927523930729e-05
"230",1,5.4325925425865e-05,5.4325925425865e-05
"231",1,4.48624981372539e-06,4.48624981372539e-06
"232",1,1.4588348101913e-06,1.4588348101913e-06
"233",1,4.40822924904204e-07,4.40822924904204e-07
"234",1,3.32028354578132e-06,3.32028354578132e-06
"235",1,1.12170788452473e-05,1.12170788452473e-05
"236",1,1.15549283660554e-05,1.15549283660554e-05
"237",1,1.17819661666299e-05,1.17819661666299e-05
"238",1,1.27828913712092e-05,1.27828913712092e-05
"239",1,9.63831272459922e-06,9.63831272459922e-06
"240",1,2.02119476230195e-05,2.02119476230195e-05
"241",1,2.24814401820892e-05,2.24814401820892e-05
"242",1,4.11350681122369e-06,4.11350681122369e-06
"243",1,2.0322307581837e-05,2.0322307581837e-05
"244",1,6.24043925586452e-06,6.24043925586452e-06
"245",1,2.00525453913767e-06,2.00525453913767e-06
"246",1,4.89778480387376e-06,4.89778480387376e-06
"247",1,2.51043876111694e-06,2.51043876111694e-06
"248",1,6.66028020400216e-06,6.66028020400216e-06
"249",1,8.76260994914575e-07,8.76260994914575e-07
"250",1,1.60164713736876e-05,1.60164713736876e-05
"251",1,3.62493624618306e-06,3.62493624618306e-06
"252",1,2.4992879736232e-05,2.4992879736232e-05
"253",1,2.135254930655e-06,2.135254930655e-06
"254",1,4.291747575796e-06,4.291747575796e-06
"255",1,8.09333073724735e-06,8.09333073724735e-06
"256",1,2.36152932705866e-06,2.36152932705866e-06
"257",1,3.45543971339572e-06,3.45543971339572e-06
"258",1,1.09573014319498e-05,1.09573014319498e-05
"259",1,2.80762572207034e-06,2.80762572207034e-06
"90",1,9.17493077778385e-06,9.17493077778385e-06
"91",1,1.31138669097993e-05,1.31138669097993e-05
"92",1,1.32951018406505e-05,1.32951018406505e-05
"93",1,1.27987896555423e-05,1.27987896555423e-05
"94",1,1.27929612364375e-05,1.27929612364375e-05
"95",1,2.38060093624757e-05,2.38060093624757e-05
"96",1,6.03835641354572e-06,6.03835641354572e-06
