"","carb","arom15","arom16","trough16","acids","aliph28","trough28","aliph29"
"61",1189,1528,1794,1794,1794,2993,2993,2993
"62",1190,1528,1795,1795,1795,2991,2991,2991
"63",1190,1528,1795,1795,1795,2997,2997,2997
"64",1188,1534,1801,1801,1801,2993,2993,2993
"65",1189,1529,1797,1797,1797,2993,2993,2993
"66",1189,1532,1796,1796,1796,2998,2998,2998
"67",1188,1524,1798,1798,1798,3017,3017,3017
"68",1186,1525,1800,1800,1800,2995,2995,2995
"69",1187,1528,1812,1812,1812,3010,3010,3010
"70",1188,1530,1806,1806,1806,3017,3017,3017
"71",1187,1528,1799,1799,1799,3017,3017,3017
"1",1188,1526,1799,1799,1799,3001,3001,3001
"2",1188,1528,1797,1797,1797,2998,2998,2998
"3",1188,1525,1805,1805,1805,3001,3001,3001
"4",1188,1532,1805,1805,1805,2997,2997,2997
"5",1187,1535,1807,1807,1807,3002,3002,3002
"6",1187,1535,1809,1809,1809,3007,3007,3007
"7",1188,1530,1804,1804,1804,3008,3008,3008
"8",1189,1532,1801,1801,1801,3002,3002,3002
"167",1186,1532,1813,1813,1813,3033,3033,3033
"168",1185,1530,1810,1810,1810,3020,3020,3020
"169",1185,1530,1810,1810,1810,3023,3023,3023
"170",1185,1531,1813,1813,1813,3020,3020,3020
"171",1185,1526,1814,1814,1814,3015,3015,3015
"172",1185,1526,1817,1817,1817,3025,3025,3025
"173",1185,1526,1813,1813,1813,3022,3022,3022
"174",1186,1529,1815,1815,1815,3025,3025,3025
"175",1187,1526,1816,1816,1816,3029,3029,3029
"176",1185,1528,1815,1815,1815,3018,3018,3018
"177",1183,1526,1809,1809,1809,2990,2990,2990
"178",1182,1528,1812,1812,1812,3006,3006,3006
"179",1183,1526,1814,1814,1814,3012,3012,3012
"180",1182,1527,1810,1810,1810,3017,3017,3017
"181",1182,1528,1808,1808,1808,2989,2989,2989
"182",1183,1526,1810,1810,1810,3019,3019,3019
"183",1191,1523,1811,1811,1811,3019,3019,3019
"184",1188,1526,1800,1800,1800,3020,3020,3020
"185",1185,1528,1814,1814,1814,3005,3005,3005
"186",1189,1524,1794,1794,1794,2998,2998,2998
"187",1185,1526,1790,1790,1790,3013,3013,3013
"188",1184,1529,1797,1797,1797,3004,3004,3004
"189",1185,1531,1781,1781,1781,3013,3013,3013
"190",1184,1529,1779,1779,1779,3023,3023,3023
"191",1183,1527,1797,1797,1797,3020,3020,3020
"192",1181,1531,1798,1798,1798,3008,3008,3008
"193",1182,1529,1797,1797,1797,3002,3002,3002
"194",1183,1527,1790,1790,1790,3013,3013,3013
"195",1181,1524,1799,1799,1799,3014,3014,3014
"196",1181,1528,1798,1798,1798,3019,3019,3019
"197",1183,1527,1796,1796,1796,3003,3003,3003
"198",1182,1528,1788,1788,1788,2993,2993,2993
"199",1181,1535,1786,1786,1786,3006,3006,3006
"200",1179,1528,1786,1786,1786,3011,3011,3011
"201",1182,1524,1789,1789,1789,3000,3000,3000
"202",1181,1526,1789,1789,1789,3001,3001,3001
"203",1179,1529,1796,1796,1796,3008,3008,3008
"204",1181,1526,1797,1797,1797,3005,3005,3005
"205",1181,1526,1797,1797,1797,3002,3002,3002
"206",1183,1530,1789,1789,1789,2999,2999,2999
"207",1181,1529,1797,1797,1797,3005,3005,3005
"208",1181,1528,1788,1788,1788,2996,2996,2996
"209",1179,1524,1784,1784,1784,3001,3001,3001
"210",1178,1528,1801,1801,1801,3020,3020,3020
"211",1183,1529,1800,1800,1800,3006,3006,3006
"212",1181,1525,1787,1787,1787,3005,3005,3005
"213",1178,1527,1787,1787,1787,3005,3005,3005
"214",1178,1527,1787,1787,1787,3019,3019,3019
"215",1180,1527,1782,1782,1782,3009,3009,3009
"216",1179,1527,1789,1789,1789,2992,2992,2992
"217",1181,1530,1796,1796,1796,3006,3006,3006
"218",1183,1524,1783,1783,1783,2999,2999,2999
"219",1181,1525,1798,1798,1798,3006,3006,3006
"220",1181,1526,1789,1789,1789,3002,3002,3002
"221",1180,1526,1789,1789,1789,3016,3016,3016
"222",1181,1528,1788,1788,1788,3002,3002,3002
"223",1180,1524,1788,1788,1788,3006,3006,3006
"224",1180,1525,1788,1788,1788,2998,2998,2998
"225",1176,1529,1797,1797,1797,3001,3001,3001
"226",1180,1525,1796,1796,1796,3004,3004,3004
"227",1179,1527,1789,1789,1789,3007,3007,3007
"228",1179,1524,1788,1788,1788,3003,3003,3003
"229",1174,1529,1782,1782,1782,3005,3005,3005
"230",1179,1533,1789,1789,1789,3008,3008,3008
"231",1182,1533,1789,1789,1789,3010,3010,3010
"232",1181,1532,1789,1789,1789,3003,3003,3003
"233",1182,1532,1790,1790,1790,3010,3010,3010
"234",1181,1527,1796,1796,1796,3010,3010,3010
"235",1184,1528,1800,1800,1800,3001,3001,3001
"236",1182,1527,1802,1802,1802,3011,3011,3011
"237",1182,1528,1804,1804,1804,3001,3001,3001
