"","carb","arom15","arom16","trough16","acids","aliph28","trough28","aliph29"
"61",1035,1514,1610,1685,1724,2851,2863,2918
"62",1029,1515,1635,1693,1720,2852,2861,2920
"63",1032,1514,1635,1698,1723,2852,2860,2919
"64",1031,1514,1632,1685,1732,2851,2867,2919
"65",1029,1514,1632,1684,1730,2851,2867,2919
"66",1032,1514,1629,1685,1727,2851,2865,2918
"67",1033,1513,1628,1682,1726,2850,2873,2918
"68",1032,1512,1627,1678,1725,2850,2877,2918
"69",1032,1513,1626,1679,1725,2851,2873,2919
"70",1031,1508,1627,1683,1712,2850,2868,2918
"71",1032,1511,1628,1683,1710,2851,2867,2918
"1",1030,1513,1627,1685,1716,2852,2861,2919
"2",1031,1514,1634,1679,1717,2852,2860,2919
"3",1032,1513,1634,1686,1717,2851,2866,2919
"4",1033,1513,1634,1693,1717,2851,2863,2919
"5",1033,1514,1634,1686,1728,2850,2869,2918
"6",1034,1515,1634,1686,1728,2850,2869,2919
"7",1033,1513,1634,1689,1711,2851,2868,2919
"8",1032,1514,1628,1689,1712,2851,2868,2919
"167",1033,1508,1619,1676,1716,2851,2880,2919
"168",1033,1507,1615,1666,1712,2850,2876,2919
"169",1033,1507,1616,1668,1709,2850,2876,2918
"170",1033,1506,1616,1666,1712,2850,2877,2918
"171",1033,1510,1622,1671,1708,2850,2871,2918
"172",1033,1511,1613,1666,1708,2851,2877,2919
"173",1033,1510,1613,1666,1708,2850,2877,2919
"174",1033,1510,1622,1666,1709,2851,2878,2919
"175",1032,1512,1622,1665,1711,2851,2876,2919
"176",1033,1511,1622,1665,1711,2850,2877,2918
"177",1038,1507,1615,1667,1712,2850,2874,2918
"178",1028,1511,1622,1667,1708,2851,2873,2918
"179",1030,1510,1621,1665,1710,2850,2875,2918
"180",1029,1506,1615,1668,1709,2850,2869,2918
"181",1028,1506,1615,1672,1708,2850,2873,2917
"182",1032,1512,1622,1666,1707,2850,2874,2918
"183",1029,1506,1613,1668,1707,2850,2874,2918
"184",1034,1512,1633,1698,1734,2851,2863,2919
"185",1035,1510,1630,1695,1734,2851,2867,2919
"186",1035,1511,1628,1688,1732,2851,2866,2919
"187",1033,1511,1629,1691,1733,2851,2867,2919
"188",1034,1509,1634,1707,1731,2851,2865,2918
"189",1033,1511,1629,1686,1734,2851,2867,2919
"190",1033,1511,1629,1685,1725,2850,2868,2919
"191",1033,1509,1628,1685,1725,2851,2870,2919
"192",1031,1509,1608,1685,1725,2851,2870,2919
"193",1025,1508,1624,1685,1725,2851,2864,2919
"194",1033,1511,1604,1685,1703,2851,2867,2919
"195",1022,1510,1603,1685,1725,2851,2866,2920
"196",1032,1507,1597,1685,1705,2851,2872,2919
"197",1033,1506,1599,1685,1703,2850,2872,2919
"198",1032,1511,1602,1685,1725,2851,2867,2919
"199",1028,1510,1602,1685,1725,2850,2865,2918
"200",1032,1507,1609,1687,1705,2851,2872,2918
"201",1032,1509,1626,1685,1725,2850,2868,2919
"202",1023,1510,1615,1684,1705,2850,2872,2918
"203",1031,1506,1603,1684,1705,2851,2871,2919
"204",1033,1507,1596,1685,1725,2850,2869,2918
"205",1032,1507,1604,1679,1702,2850,2868,2918
"206",1034,1510,1627,1685,1725,2850,2868,2918
"207",1032,1507,1598,1685,1725,2850,2868,2918
"208",1033,1507,1598,1685,1725,2851,2868,2919
"209",1033,1506,1591,1681,1702,2850,2867,2918
"210",1033,1507,1600,1650,1705,2850,2863,2919
"211",1032,1510,1604,1685,1737,2851,2866,2919
"212",1032,1509,1622,1684,1706,2851,2869,2919
"213",1031,1507,1623,1681,1704,2850,2872,2918
"214",1032,1507,1616,1682,1704,2850,2873,2918
"215",1033,1507,1622,1681,1703,2850,2868,2918
"216",1031,1506,1602,1684,1704,2851,2871,2918
"217",1033,1508,1615,1685,1725,2850,2868,2918
"218",1032,1508,1622,1685,1725,2850,2868,2918
"219",1033,1507,1595,1685,1725,2850,2868,2918
"220",1033,1507,1616,1685,1725,2850,2868,2918
"221",1033,1509,1623,1685,1725,2850,2868,2918
"222",1033,1509,1615,1683,1706,2850,2868,2918
"223",1033,1508,1595,1685,1725,2850,2868,2918
"224",1033,1507,1594,1685,1725,2850,2868,2918
"225",1033,1506,1592,1685,1725,2850,2868,2918
"226",1033,1509,1596,1685,1725,2850,2868,2919
"227",1033,1507,1594,1685,1725,2850,2867,2918
"228",1033,1506,1594,1685,1725,2850,2868,2919
"229",1033,1509,1594,1685,1725,2850,2868,2918
"230",1033,1511,1637,1704,1732,2851,2867,2918
"231",1025,1511,1634,1689,1733,2850,2870,2919
"232",1030,1511,1633,1689,1732,2850,2873,2918
"233",1031,1511,1634,1687,1734,2851,2869,2919
"234",1031,1510,1629,1686,1706,2850,2872,2919
"235",1034,1507,1603,1685,1704,2851,2866,2919
"236",1031,1507,1603,1686,1707,2850,2865,2919
"237",1032,1506,1601,1687,1703,2851,2866,2919
"238",1032,1506,1600,1685,1725,2851,2866,2919
"239",1031,1509,1603,1685,1725,2850,2865,2919
"240",1034,1510,1601,1684,1706,2850,2865,2919
"241",1030,1509,1602,1685,1725,2851,2866,2919
"242",1032,1508,1602,1684,1707,2850,2870,2918
"243",1031,1506,1600,1680,1701,2850,2868,2918
"244",1033,1510,1602,1684,1706,2850,2865,2918
"245",1032,1508,1626,1681,1703,2850,2870,2918
"246",1032,1506,1595,1685,1725,2850,2871,2919
"247",1032,1507,1602,1683,1705,2850,2872,2918
"248",1033,1507,1627,1680,1704,2850,2873,2918
"249",1029,1507,1602,1684,1707,2850,2870,2919
"250",1032,1507,1627,1685,1725,2850,2869,2919
"251",1032,1507,1622,1684,1706,2850,2866,2919
"252",1033,1509,1622,1685,1725,2850,2869,2918
"253",1031,1506,1626,1682,1703,2850,2874,2919
"254",1031,1507,1602,1685,1725,2851,2869,2919
"255",1031,1507,1602,1679,1702,2851,2869,2919
"256",1030,1507,1602,1685,1725,2850,2866,2918
"257",1033,1510,1627,1685,1725,2850,2867,2918
"258",1032,1507,1622,1685,1725,2850,2867,2918
"259",1032,1511,1634,1688,1734,2850,2872,2919
"90",1033,1514,1610,1677,1716,2850,2854,2919
"91",1033,1514,1636,1676,1716,2917,2917,2917
"92",1033,1514,1635,1678,1716,2850,2854,2920
"93",1032,1515,1635,1679,1717,2853,2860,2919
"94",1033,1515,1635,1677,1722,2853,2858,2919
"95",1033,1514,1630,1686,1716,2851,2872,2920
"96",1033,1514,1630,1679,1715,2851,2871,2921
"97",1033,1513,1622,1683,1712,2852,2871,2921
"98",1033,1508,1630,1683,1711,2851,2872,2922
"99",1033,1512,1616,1676,1710,2851,2867,2921
"100",1033,1512,1611,1677,1711,2852,2872,2921
"101",1033,1512,1610,1678,1707,2850,2869,2921
"102",1033,1512,1615,1677,1711,2852,2870,2921
"103",1032,1508,1610,1677,1712,2851,2874,2921
"104",1033,1513,1615,1679,1708,2851,2878,2920
"105",1032,1511,1610,1679,1712,2850,2873,2919
"106",1032,1508,1603,1682,1711,2851,2872,2920
"107",1031,1513,1615,1678,1707,2851,2877,2920
"108",1032,1514,1609,1679,1707,2851,2866,2920
"109",1033,1510,1607,1679,1704,2851,2876,2920
"110",1033,1510,1608,1676,1711,2851,2878,2919
"111",1033,1509,1607,1677,1709,2851,2874,2919
"112",1033,1508,1606,1675,1711,2851,2872,2920
"113",1033,1509,1606,1669,1704,2851,2876,2919
"114",1033,1509,1615,1676,1708,2850,2872,2919
"115",1033,1509,1615,1676,1708,2850,2865,2918
"116",1033,1508,1605,1677,1714,2850,2865,2919
"117",1033,1507,1615,1679,1707,2853,2865,2919
"118",1033,1507,1615,1677,1709,2850,2865,2919
"119",1033,1507,1616,1685,1725,2851,2877,2920
"120",1033,1507,1619,1681,1712,2851,2865,2919
"121",1033,1507,1618,1690,1714,2851,2874,2920
"122",1033,1507,1622,1692,1713,2851,2872,2920
"123",1033,1514,1633,1688,1716,2851,2857,2919
"124",1033,1515,1633,1693,1723,2851,2860,2919
"125",1033,1514,1633,1688,1720,2852,2863,2918
"126",1032,1514,1634,1689,1720,2853,2860,2919
"127",1033,1514,1633,1686,1719,2851,2862,2918
"128",1032,1514,1635,1689,1716,2852,2863,2918
"129",1027,1514,1627,1689,1715,2851,2865,2919
"130",1033,1514,1633,1687,1716,2854,2859,2917
"131",1033,1513,1633,1686,1714,2850,2866,2918
"132",1032,1514,1634,1682,1717,2852,2863,2919
"133",1033,1509,1627,1689,1714,2851,2865,2920
"134",1032,1512,1633,1686,1713,2851,2867,2919
"135",1031,1509,1626,1687,1715,2851,2873,2920
"136",1031,1508,1623,1673,1712,2851,2877,2920
"137",1033,1514,1634,1686,1716,2850,2858,2919
"138",1032,1509,1622,1682,1712,2850,2872,2919
"139",1032,1509,1615,1678,1712,2851,2871,2919
"140",1032,1508,1623,1677,1714,2850,2866,2918
"141",1031,1510,1623,1678,1713,2850,2870,2919
"142",1033,1512,1622,1680,1712,2850,2871,2918
"143",1032,1510,1614,1677,1708,2850,2872,2920
"144",1032,1508,1615,1677,1703,2851,2871,2921
"145",1032,1511,1614,1677,1708,2850,2873,2918
"146",1032,1513,1613,1678,1711,2850,2866,2918
"147",1033,1509,1615,1678,1711,2850,2874,2919
"148",1031,1508,1613,1678,1706,2851,2874,2919
"149",1032,1512,1615,1675,1707,2851,2873,2918
"150",1032,1508,1607,1678,1706,2850,2873,2919
"151",1032,1512,1616,1678,1705,2850,2878,2919
"152",1032,1510,1607,1679,1706,2850,2873,2919
"153",1031,1508,1607,1676,1709,2851,2873,2919
"154",1030,1508,1606,1677,1712,2850,2873,2918
"155",1032,1512,1608,1674,1708,2850,2874,2918
"156",1033,1512,1605,1681,1712,2851,2873,2919
"157",1033,1512,1605,1676,1706,2851,2872,2919
"158",1032,1512,1605,1684,1709,2851,2873,2919
"159",1032,1512,1614,1678,1705,2851,2873,2919
"160",1032,1512,1606,1680,1707,2851,2873,2919
"161",1033,1507,1606,1674,1707,2850,2873,2919
"162",1033,1514,1607,1676,1705,2851,2873,2919
"163",1032,1512,1603,1678,1706,2850,2874,2919
"164",1034,1508,1606,1679,1715,2850,2873,2919
