"","carb","arom15","arom16","trough16","acids","aliph28","trough28","aliph29"
"61",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"62",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"63",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"64",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"65",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"66",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"67",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"68",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"69",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"70",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"71",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"1",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"3",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"6",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"7",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"8",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"167",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"168",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"169",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"170",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"171",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"172",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"173",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"174",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"175",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"176",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"177",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"178",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"179",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"180",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"181",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"182",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"183",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"184",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"185",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"186",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"187",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"188",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"189",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"190",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"191",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"192",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"193",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"194",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"195",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"196",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"197",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"198",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"199",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"200",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"201",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"202",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"203",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"204",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"205",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"206",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"207",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"208",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"209",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"210",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"211",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"212",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"213",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"214",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"215",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"216",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"217",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"218",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"219",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"220",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"221",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"222",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"223",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"224",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"225",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"226",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"227",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"228",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"229",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"230",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
