"","aliph.type","acids.type","notes"
"1","two separated peaks","peak",NA
"2","two separated peaks","peak",NA
"3","two separated peaks","peak",NA
"4","two separated peaks","peak",NA
"5","two separated peaks","peak",NA
"6","two separated peaks","peak",NA
"7","two separated peaks","peak",NA
"8","two separated peaks","peak",NA
"9","two separated peaks","peak",NA
"10","two separated peaks","peak",NA
"11","two separated peaks","peak",NA
"12","two separated peaks","peak",NA
"13","two separated peaks","peak",NA
"14","two separated peaks","peak",NA
"15","two unseparated peaks","peak",NA
"16","two separated peaks","peak",NA
"17","two separated peaks","peak",NA
"18","two separated peaks","peak",NA
"19","two separated peaks","peak",NA
"20","two separated peaks","peak",NA
"21","two separated peaks","peak",NA
"22","two separated peaks","peak",NA
"23","two separated peaks","peak",NA
"24","two separated peaks","peak",NA
"25","two separated peaks","peak",NA
"26","two separated peaks","peak",NA
"27","two separated peaks","peak",NA
"28","two separated peaks","peak",NA
"29","two separated peaks","peak",NA
"30","two separated peaks","peak",NA
"31","two separated peaks","peak",NA
"32","two separated peaks","peak",NA
"33","two separated peaks","peak",NA
"34","two separated peaks","peak",NA
"35","two separated peaks","peak",NA
"36","two separated peaks","shoulder",NA
"37","two separated peaks","peak",NA
"38","two separated peaks","peak",NA
"39","one peak","peak",NA
