"","area","silicate780","norm.silicate780"
"1",1,3.92088165505531e-05,3.92088165505531e-05
"2",1,7.96293079853956e-06,7.96293079853956e-06
"3",1,1.94476440597447e-06,1.94476440597447e-06
"4",1,1.44532591420744e-05,1.44532591420744e-05
"5",1,9.8244313437224e-06,9.8244313437224e-06
"6",1,1.11958433950546e-05,1.11958433950546e-05
"7",1,1.34961010710888e-05,1.34961010710888e-05
"8",1,7.40963498721392e-06,7.40963498721392e-06
"9",1,1.9000994303094e-05,1.9000994303094e-05
"10",1,5.03046408695066e-05,5.03046408695066e-05
"11",1,1.31393155315237e-05,1.31393155315237e-05
"12",1,1.8355185545889e-05,1.8355185545889e-05
"13",1,1.31868414607107e-05,1.31868414607107e-05
"14",1,2.34547282913138e-05,2.34547282913138e-05
"15",1,1.87353663825939e-05,1.87353663825939e-05
"16",1,1.73400111513622e-05,1.73400111513622e-05
"17",1,6.28198444456745e-06,6.28198444456745e-06
"18",1,4.10820033330573e-06,4.10820033330573e-06
"19",1,3.53532730592453e-06,3.53532730592453e-06
"20",1,4.93442711073943e-06,4.93442711073943e-06
"21",1,3.03203804232869e-06,3.03203804232869e-06
"22",1,2.89643709636417e-06,2.89643709636417e-06
"23",1,2.45975087641493e-06,2.45975087641493e-06
"24",1,2.85629735945894e-06,2.85629735945894e-06
"25",1,1.17798966740113e-05,1.17798966740113e-05
"26",1,1.50723848514478e-05,1.50723848514478e-05
"27",1,1.95135607754679e-05,1.95135607754679e-05
"28",1,1.15886217958726e-05,1.15886217958726e-05
"29",1,4.51425994615163e-05,4.51425994615163e-05
"30",1,1.32383580958613e-05,1.32383580958613e-05
"31",1,9.32707611846984e-06,9.32707611846984e-06
"32",1,1.73464735214772e-05,1.73464735214772e-05
"33",1,2.44934779753162e-05,2.44934779753162e-05
"34",1,2.24690134034963e-05,2.24690134034963e-05
"35",1,4.2441966633411e-06,4.2441966633411e-06
"36",1,3.91835012848302e-06,3.91835012848302e-06
"37",1,8.81226405742555e-08,8.81226405742555e-08
"38",1,1.31782455003526e-05,1.31782455003526e-05
"39",1,1.86165834243462e-06,1.86165834243462e-06
