"","carb","arom15","arom16","trough16","acids","aliph28","trough28","aliph29"
"1",1182,1540,1790,1790,1790,2996,2996,2996
"2",1184,1537,1793,1793,1793,3001,3001,3001
"3",1150,1540,1781,1781,1781,2997,2997,2997
"4",1184,1540,1783,1783,1783,3023,3023,3023
"5",1184,1540,1794,1794,1794,3001,3001,3001
"6",1183,1540,1780,1780,1780,3000,3000,3000
"7",1183,1537,1776,1776,1776,2997,2997,2997
"8",1186,1540,1796,1796,1796,3020,3020,3020
"9",1185,1538,1786,1786,1786,2996,2996,2996
"10",1184,1540,1783,1783,1783,2999,2999,2999
"11",1185,1535,1790,1790,1790,3000,3000,3000
"12",1186,1540,1792,1792,1792,3000,3000,3000
"13",1189,1525,1792,1792,1792,3001,3001,3001
"14",1190,1531,1783,1783,1783,3003,3003,3003
"15",1190,1529,1780,1780,1780,2993,2993,2993
"16",1190,1531,1788,1788,1788,2994,2994,2994
"17",1191,1535,1768,1768,1768,2994,2994,2994
"18",1188,1535,1768,1768,1768,2998,2998,2998
"19",1190,1535,1767,1767,1767,2994,2994,2994
"20",1190,1533,1770,1770,1770,2996,2996,2996
"21",1189,1531,1773,1773,1773,2996,2996,2996
"22",1188,1538,1801,1801,1801,3002,3002,3002
"23",1186,1526,1770,1770,1770,2996,2996,2996
"24",1188,1540,1774,1774,1774,2990,2990,2990
"25",1179,1535,1780,1780,1780,3000,3000,3000
"26",1180,1538,1772,1772,1772,3014,3014,3014
"27",1188,1536,1788,1788,1788,3014,3014,3014
"28",1178,1540,1774,1774,1774,2999,2999,2999
"29",1184,1540,1770,1770,1770,2999,2999,2999
"30",1179,1540,1778,1778,1778,2999,2999,2999
"31",1190,1536,1776,1776,1776,2999,2999,2999
"32",1183,1530,1801,1801,1801,3013,3013,3013
"33",1184,1540,1786,1786,1786,2998,2998,2998
"34",1183,1540,1794,1794,1794,3004,3004,3004
"35",1184,1534,1799,1799,1799,3013,3013,3013
"36",1181,1533,1802,1802,1802,2991,2991,2991
"37",1181,1530,1776,1776,1776,2990,2990,2990
"38",1181,1529,1814,1814,1814,3019,3019,3019
"39",1180,1530,1782,1782,1782,3006,3006,3006
