"","carb","arom15","arom16","trough16","acids","aliph28","trough28","aliph29"
"1",1033,1515,1607,1697,1732,2853,2875,2922
"2",1024,1508,1614,1690,1733,2852,2867,2920
"3",1033,1514,1614,1690,1732,2851,2868,2921
"4",1023,1516,1608,1678,1732,2850,2877,2919
"5",1024,1514,1608,1690,1734,2852,2864,2920
"6",1032,1516,1615,1697,1733,2852,2868,2921
"7",1018,1517,1606,1697,1733,2850,2868,2918
"8",1032,1509,1613,1685,1735,2850,2877,2918
"9",1034,1514,1611,1695,1734,2858,2867,2928
"10",1032,1509,1621,1694,1733,2851,2871,2920
"11",1032,1514,1635,1698,1724,2851,2863,2920
"12",1027,1518,1634,1691,1727,2852,2862,2920
"13",1027,1514,1638,1690,1725,2851,2861,2920
"14",1033,1514,1610,1669,1718,2853,2858,2919
"15",1032,1514,1609,1676,1722,2850,2854,2919
"16",1033,1514,1610,1678,1723,2851,2863,2920
"17",1034,1516,1651,1709,1737,2851,2864,2919
"18",1035,1516,1651,1705,1736,2852,2865,2920
"19",1034,1515,1651,1705,1736,2850,2864,2918
"20",1034,1514,1644,1705,1735,2851,2863,2919
"21",1033,1516,1635,1701,1733,2852,2862,2919
"22",1032,1515,1627,1690,1732,2851,2860,2919
"23",1034,1515,1646,1705,1734,2852,2861,2920
"24",1033,1515,1627,1707,1730,2851,2863,2919
"25",1031,1514,1609,1697,1733,2851,2866,2921
"26",1035,1512,1603,1667,1687,2851,2878,2920
"27",1033,1514,1613,1688,1732,2850,2877,2918
"28",1028,1506,1607,1687,1731,2853,2858,2919
"29",1034,1515,1608,1703,1731,2850,2868,2918
"30",1033,1516,1611,1677,1733,2850,2875,2918
"31",1034,1515,1604,1692,1732,2850,2867,2918
"32",1032,1513,1611,1683,1731,2851,2877,2919
"33",1034,1517,1614,1691,1732,2852,2871,2920
"34",1035,1517,1612,1692,1731,2852,2864,2920
"35",1033,1513,1614,1686,1732,2850,2876,2919
"36",1028,1507,1595,1682,1715,2851,2860,2916
"37",1028,1506,1595,1694,1720,2850,2857,2917
"38",1031,1506,1595,1700,1731,2848,2856,2915
"39",1027,1506,1594,1700,1727,2916,2916,2916
