"wavenumber","P_1_A_BRose_AG_Leaves","P_1_A_BRose_AG_Stems","P_1_A_Cloud_AG_Leaves","P_5_CN_Cloud_AG_Leaves","P_1_A_Cloud_AG_Stems","P_3_A_Cloud_AG_Stems","P_2_CN_Crow_AG_Leaves","P_1_CN_Crow_AG_Stems","P_5_A_DBirch_AG_Stems","P_5_A_Lingon_AG_Stems","P_3_A_Lichen_AG","P_3_A_MossA_AG","P_2_A_SphagFusc_AG","T3Far_Sphagnum","Spruce_May2016_Green.Sphagnum.angustifolium","Spruce_May2016_Red.Sphagnum.magellanicum","Spruce_May2016_Eriophorum.vaginatum","Spruce_May2016_Eriophorum.viridicarinatum","Spruce_May2016_Carex.Trisperma","E_1_A_CarexRot_AG","E_2_A_ErioAng_AG","E_4_A_ErioAng.Litter_AG","E_2_CN_ErioAng_AG","E_3_CN_ErioAng_AG","Pocosin_Pinus","Pocosin_Ilex_inkberry","Pocosin_Persia","Pocosin_Gordonia_stem","Pocosin_Lyonia","Pocosin_Vaccinium","Everglades_Cladium_sawgrass","Brunei.Leaf.1","Brunei.Leaf.5","Brunei.Leaf.6","Brunei.Leaf.10","Brunei.S3.P7.Wood.Block","Brunei.S4.P7.B120.Wood.Block","Brunei.S28.P6.B205.Wood.Block","Brunei.S29.P6.B212.Wood.Block"
4000,0.00045214,0.000360362,0.000546778,0.000280671,0.00027467,0.000429157,0.0003807,0.000358265,0.000562323,0.000264881,0.000396144,0.000313214,0.000241591,0.000391013,0.000293436,0.000216239,0.000308895,0.000264197,0.000131099,0.000494213,0.000353377,0.000308913,0.000674627,0.00041101,0.00027794,0.000175774,0.000241873,0.000243066,0.000521055,0.000373311,0.000260798,7.69e-05,0.000230712,0.000269712,0.00039373,0.000155779,0.000352516,0.000107664,0.000493228
3999,0.000469998,0.00036624,0.000418579,0.000238241,0.000239942,0.000306781,0.000286989,0.00022994,0.000570638,0.000375861,0.000328574,0.000269618,0.000310893,0.000422306,0.000377073,0.000280799,0.000387972,0.000326508,0.000323674,0.000500252,0.000336647,0.000357652,0.000555671,0.000419439,0.000322579,0.000185417,0.000308124,0.000306962,0.000530782,0.000304041,0.000220902,0.000201255,0.000255525,0.000260311,0.000461876,0.000144447,0.000488902,0.000288107,0.000307284
3998,0.000433737,0.000304802,0.000295084,0.000193894,0.000199204,0.000223384,0.000259513,0.000105754,0.000579004,0.000486805,0.00027905,0.000238582,0.000368086,0.000453625,0.000460509,0.000345391,0.000467008,0.000388696,0.000516123,0.000437965,0.000318915,0.000368194,0.00038927,0.000427433,0.000346086,0.000195048,0.000345624,0.00037099,0.000540536,0.000230304,0.000172965,0.000308643,0.000208801,0.000250562,0.000530041,0.000170347,0.000438483,0.000410692,0.000113907
3997,0.000397314,0.000220322,0.000224185,0.000147954,0.000175443,0.000206238,0.000256659,3.99e-05,0.000575992,0.000606613,0.00026752,0.000240795,0.00038232,0.000472969,0.000544455,0.000409864,0.000546101,0.00045117,0.000708904,0.000352876,0.000299694,0.000360377,0.000286951,0.000434239,0.000362443,0.000204696,0.000360769,0.000434721,0.000550246,0.000150502,0.000143108,0.000373023,0.000121016,0.000239773,0.000598123,0.000207364,0.000254327,0.000412408,0
3996,0.000377847,0.000165931,0.000211725,9.95e-05,0.000165896,0.000309632,0.000266278,4.63e-05,0.000567151,0.00068072,0.000284137,0.000247795,0.000323803,0.000468806,0.000545477,0.00047462,0.000604964,0.000468147,0.00084424,0.000274991,0.000278136,0.000336017,0.000297085,0.000439474,0.00037342,0.000214306,0.000360774,0.000499261,0.000560105,5.87e-05,0.000141395,0.000372379,4.26e-05,0.000228405,0.000666292,0.000236708,6.93e-05,0.000305333,4.37e-05
3995,0.000350144,0.000174217,0.000235912,0.000124219,0.000160131,0.000359315,0.000247578,0.000103111,0.000558361,0.000633645,0.000312317,0.000224582,0.000208918,0.000440695,0.000481017,0.000504444,0.000617159,0.00045627,0.000903738,0.000220428,0.000257727,0.000292447,0.000393622,0.000390798,0.000372445,0.000223932,0.000355219,0.000474369,0.000552164,1.14e-06,0.000158438,0.000309698,1.53e-05,0.000157798,0.000734145,0.00025875,0,0.000175129,0.000219998
3994,0.000342776,0.000242812,0.00028463,0.000215789,0.000154292,0.000400226,0.000196592,0.000183507,0.000548326,0.000600764,0.000342497,0.000179453,9.92e-05,0.000403203,0.000399136,0.0004979,0.000591469,0.000441691,0.000885652,0.000203179,0.000212867,0.000245786,0.000523483,0.00028054,0.000355521,0.000219721,0.00035753,0.000380444,0.000524589,0,0.000176168,0.000223027,5.19e-05,9.1e-05,0.000820267,0.000291428,7.46e-05,0.000123885,0.000422031
3993,0.000269158,0.000375492,0.00036561,0.000381126,0.000150027,0.00043368,0.000149386,0.000270873,0.000540099,0.000579868,0.000364725,0.000158281,5.27e-05,0.000376681,0.000336908,0.000469892,0.000552427,0.000424851,0.000814194,0.000234855,0.000178817,0.000226683,0.000648873,0.000160355,0.000331512,0.000213621,0.000378543,0.00026857,0.000496985,7.81e-05,0.000183875,0.000167545,0.00013513,9.56e-05,0.00088236,0.000356794,0.000237443,0.000193451,0.000544549
3992,0.00023514,0.000453957,0.000481701,0.000529391,0.000148853,0.000455139,0.000150256,0.000351456,0.000543014,0.000585947,0.000365432,0.00018701,7.93e-05,0.000382391,0.000304582,0.000437886,0.000518139,0.00038737,0.000711931,0.000312808,0.000208054,0.000248793,0.000745774,0.000102166,0.000324793,0.000239219,0.000419913,0.000190801,0.000496064,0.000205131,0.000190407,0.000178568,0.000230157,0.000186138,0.000876641,0.0004628,0.000405412,0.000333415,0.000556945
3991,0.000256599,0.000491175,0.000607529,0.000601298,0.00015607,0.000445255,0.000218746,0.000407329,0.00055778,0.000594046,0.000337152,0.000236135,0.000141156,0.000428724,0.000295643,0.000414138,0.000519225,0.000325665,0.000616502,0.00041376,0.000303468,0.000290077,0.000788243,0.000142377,0.000363432,0.000323663,0.000474889,0.000181634,0.000543048,0.000354158,0.000223327,0.000247808,0.000301796,0.000304213,0.000801617,0.000590906,0.000516204,0.000448078,0.000573098
3990,0.000307758,0.000489117,0.000702737,0.000578176,0.00018423,0.000394514,0.000340818,0.000428928,0.000566529,0.000560376,0.000289351,0.000253256,0.000191832,0.000494965,0.000300954,0.000401894,0.000527137,0.000264943,0.000560882,0.00050376,0.000406077,0.000311279,0.000758253,0.000254927,0.000455824,0.000459829,0.000532613,0.000245206,0.000642745,0.000511236,0.000308377,0.00033199,0.000328996,0.000357326,0.000705933,0.000696488,0.000545124,0.000480161,0.000537493
3989,0.000354177,0.000481896,0.00074907,0.000480538,0.000242295,0.00033218,0.000483186,0.000429379,0.00054894,0.000464745,0.000246305,0.000227664,0.000215695,0.000535741,0.000313249,0.000398101,0.000563553,0.000236779,0.000549992,0.000559027,0.000453037,0.000293519,0.000671601,0.000379417,0.000573535,0.000602474,0.000581164,0.000352461,0.000777043,0.000665962,0.000437631,0.00038368,0.000315894,0.000295379,0.000651325,0.000726543,0.000506168,0.000448534,0.000525089
3988,0.000388299,0.000505635,0.000766942,0.000351206,0.000321104,0.000319611,0.000616555,0.000434924,0.000505265,0.000333262,0.000234138,0.000211517,0.000236427,0.00051892,0.000328074,0.000403392,0.000617334,0.000250889,0.00055925,0.000579898,0.000439894,0.000258037,0.000579791,0.00047313,0.000658984,0.000693356,0.000609212,0.000452943,0.000904955,0.000795352,0.000558178,0.000378008,0.000289855,0.000158191,0.000666865,0.000651979,0.000445471,0.000402904,0.000509251
3987,0.00042447,0.000565422,0.000790127,0.000235261,0.000398148,0.000403941,0.000727286,0.000459765,0.000455951,0.00021917,0.000267637,0.000270066,0.000288454,0.000461717,0.000347074,0.000428505,0.000660834,0.000294383,0.000561709,0.000585742,0.000419699,0.000250598,0.000535154,0.000537455,0.000656826,0.000696019,0.000606791,0.000500966,0.0009775,0.000864539,0.000604456,0.000318542,0.000280462,4.78e-05,0.000738016,0.000494065,0.000416838,0.000357279,0.000462981
3986,0.000467942,0.000631623,0.000827365,0.000164707,0.000460022,0.000575464,0.000808005,0.000495774,0.000424714,0.000164899,0.000342715,0.000414803,0.000380321,0.00041822,0.000378275,0.000484473,0.000669521,0.000351148,0.000554852,0.000598001,0.000448314,0.000305703,0.000551841,0.000599585,0.000549243,0.000615622,0.000567013,0.000479696,0.00096479,0.000847068,0.000550639,0.00022833,0.000295988,4.67e-05,0.000828282,0.000319772,0.000442134,0.000284549,0.00040002
3985,0.000501369,0.00066905,0.000854276,0.000151642,0.000515056,0.000769484,0.000843358,0.000527245,0.000431021,0.000183604,0.00043625,0.000588667,0.000487503,0.000421546,0.000426733,0.000561273,0.000643623,0.000411073,0.00055669,0.000628725,0.000536717,0.000419547,0.000600837,0.000674343,0.000373345,0.000493168,0.000492468,0.000407888,0.000878958,0.000746783,0.000432578,0.000140197,0.000323573,0.000151554,0.000904895,0.000203055,0.000488106,0.000171828,0.000376718
