"sample_id","core_label","sampling_date","sampling_longitude","sampling_longitude_err","sampling_latitude","sampling_latitude_err","sampling_altitude","sampling_altitude_err","site_id","sample_depth_lower","sample_depth_lower_err","sample_depth_upper","sample_depth_upper_err","sample_type","sample_microhabitat","sample_treatment","comments","N","N_err","C","C_err","O","O_err","H","H_err","S","S_err","P","P_err","K","K_err","Ca","Ca_err","Na","Na_err","Mg","Mg_err","Al","Al_err","Si","Si_err","Cl","Cl_err","Ti","Ti_err","Cr","Cr_err","Mn","Mn_err","Fe","Fe_err","Cu","Cu_err","Zn","Zn_err","As","As_err","Br","Br_err","Rb","Rb_err","Sr","Sr_err","Ba","Ba_err","Pb","Pb_err","d13C","d13C_err","d15N","d15N_err","d18O","d18O_err","d2H","d2H_err","mass","mass_err","volume","volume_err","bulk_density","bulk_density_err","loss_on_ignition","loss_on_ignition_err","pH","pH_err","electron_accepting_capacity","electron_accepting_capacity_err","electron_donating_capacity","electron_donating_capacity_err","heat_of_combustion","heat_of_combustion_err","enthalpy_of_formation","enthalpy_of_formation_err","entropy_of_formation","entropy_of_formation_err","Gibbs_energy_of_formation","Gibbs_energy_of_formation_err","Klason_lignin_content","Klason_lignin_content_err","holocellulose_mass_content","holocellulose_mass_content_err","age_14C","age_14C_err","lab_code_14C","activity_210Pb","activity_210Pb_err","mass_210Pb","mass_210Pb_err","volume_210Pb","volume_210Pb_err","bulk_density_210Pb","bulk_density_210Pb_err","counting_method_210_Pb","laboratory_label_210Pb","background_activity_reached_210Pb","activity_137Cs","activity_137Cs_err","age_137Cs","age_137Cs_err","hydraulic_conductivity","hydraulic_conductivity_err","porosity","porosity_err","macroporosity","macroporosity_err","data_source","data_source_doi"
"CPP_12.5","CPP","2012-06-01",19.0473,,68.3531,,,,1,12.5,12.5,"NA","NA","peat","rim of a thermokarst feature ","control","no exact sampling date given; it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"Hodgkins, S.B., Richardson, C.J., Dommain, R. et al. Tropical peatland carbon storage linked to global latitudinal trends in peat recalcitrance. Nat Commun 9, 3640 (2018). https://doi.org/10.1038/s41467-018-06050-2 ","10.1038/s41467-018-06050-2 "
"CPP_32.5","CPP","2012-06-01",19.0473,,68.3531,,,,1,32.5,32.5,"NA","NA","peat","rim of a thermokarst feature ","control","no exact sampling date given; it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,25,,,,,,,,,,,,,,,,,,,,,,,"Hodgkins, S.B., Richardson, C.J., Dommain, R. et al. Tropical peatland carbon storage linked to global latitudinal trends in peat recalcitrance. Nat Commun 9, 3640 (2018). https://doi.org/10.1038/s41467-018-06050-2 ","10.1038/s41467-018-06050-2 "
"CPP_52.5","CPP","2012-06-01",19.0473,,68.3531,,,,1,52.5,52.5,"NA","NA","peat","rim of a thermokarst feature ","control","no exact sampling date given; it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,65,,,,,,,,,,,,,,,,,,,,,,,"Hodgkins, S.B., Richardson, C.J., Dommain, R. et al. Tropical peatland carbon storage linked to global latitudinal trends in peat recalcitrance. Nat Commun 9, 3640 (2018). https://doi.org/10.1038/s41467-018-06050-2 ","10.1038/s41467-018-06050-2 "
"CPP_72.5","CPP","2012-06-01",19.0473,,68.3531,,,,1,72.5,72.5,"NA","NA","peat","rim of a thermokarst feature ","control","no exact sampling date given; it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680,25,,,,,,,,,,,,,,,,,,,,,,,"Hodgkins, S.B., Richardson, C.J., Dommain, R. et al. Tropical peatland carbon storage linked to global latitudinal trends in peat recalcitrance. Nat Commun 9, 3640 (2018). https://doi.org/10.1038/s41467-018-06050-2 ","10.1038/s41467-018-06050-2 "
"CPP1.1","CPP","2012-06-01",19.0473,,68.3531,,,,1,5,"NA",1,"NA","peat","rim of a thermokarst feature ","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"CPP1.10","CPP","2012-06-01",19.0473,,68.3531,,,,1,15,"NA",10,"NA","peat","rim of a thermokarst feature ","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"CPP1.20","CPP","2012-06-01",19.0473,,68.3531,,,,1,25,"NA",20,"NA","peat","rim of a thermokarst feature ","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"CPP1.30","CPP","2012-06-01",19.0473,,68.3531,,,,1,35,"NA",30,"NA","peat","rim of a thermokarst feature ","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"CPP1.40","CPP","2012-06-01",19.0473,,68.3531,,,,1,45,"NA",40,"NA","peat","rim of a thermokarst feature ","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"CPP1.50","CPP","2012-06-01",19.0473,,68.3531,,,,1,55,"NA",50,"NA","peat","rim of a thermokarst feature ","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"CPP1.60","CPP","2012-06-01",19.0473,,68.3531,,,,1,65,"NA",60,"NA","peat","rim of a thermokarst feature ","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"CPP1.70","CPP","2012-06-01",19.0473,,68.3531,,,,1,75,"NA",70,"NA","peat","rim of a thermokarst feature ","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"ZimBog.0.5","Zim Bog","2013-05-31",-92.7146,,47.1791,,,,2,5,"NA",0,"NA","peat","NA","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"ZimBog.23.28","Zim Bog","2013-05-31",-92.7146,,47.1791,,,,2,28,"NA",23,"NA","peat","NA","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"ZimBog.25.50","Zim Bog","2013-05-31",-92.7146,,47.1791,,,,2,50,"NA",25,"NA","peat","NA","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"ZimBog.50.55","Zim Bog","2013-05-31",-92.7146,,47.1791,,,,2,55,"NA",50,"NA","peat","NA","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"ZimBog.90.95","Zim Bog","2013-05-31",-92.7146,,47.1791,,,,2,95,"NA",90,"NA","peat","NA","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"ZimBog.100.105","Zim Bog","2013-05-31",-92.7146,,47.1791,,,,2,105,"NA",100,"NA","peat","NA","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"ZimBog.145.150","Zim Bog","2013-05-31",-92.7146,,47.1791,,,,2,150,"NA",145,"NA","peat","NA","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"ZimBog.150.155","Zim Bog","2013-05-31",-92.7146,,47.1791,,,,2,155,"NA",150,"NA","peat","NA","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"ZimBog.195.200","Zim Bog","2013-05-31",-92.7146,,47.1791,,,,2,200,"NA",195,"NA","peat","NA","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII Bog_60","RL-II Bog","2009-01-01",-92.7146,,47.1791,,,,3,60,"NA",60,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,30,,,,,,,,,,,,,,,,,,,,,,,"Chasar et al. (2000); Chanton et al. (2008)","10.1029/1999GB001221"
"RLII Bog_100","RL-II Bog","2009-01-01",-92.7146,,47.1791,,,,3,100,"NA",100,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,30,,,,,,,,,,,,,,,,,,,,,,,"Chasar et al. (2000); Chanton et al. (2008)","10.1029/1999GB001221"
"RLII Bog_200","RL-II Bog","2009-01-01",-92.7146,,47.1791,,,,3,200,"NA",200,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,30,,,,,,,,,,,,,,,,,,,,,,,"Chasar et al. (2000); Chanton et al. (2008)","10.1029/1999GB001221"
"RLII Bog_280","RL-II Bog","2009-01-01",-92.7146,,47.1791,,,,3,280,"NA",280,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,30,,,,,,,,,,,,,,,,,,,,,,,"Chasar et al. (2000); Chanton et al. (2008)","10.1029/1999GB001221"
